Employee_ID,Name,Gender,Age,Department,City,Experience_Years,Education_Level,Job_Level,Salary,Performance_Score,Joining_Date,Is_Remote,Employment_Type,Monthly_Work_Hours,Projects_Completed,Training_Hours,Satisfaction_Score,Attrition,Email
1001,Farhan Ahmed,Male,38,Marketing,Karachi,4,Intermediate,Senior,111512,7.9,2014-09-18,True,Full-time,169,150,77,1.1,No,farhan.ahmed1001@company.com
1002,Farhan Chaudhry,Female,35,Design,Rawalpindi,8,Intermediate,Senior,,6.7,2017-06-27,True,Part-time,183,7,11,2.5,No,farhan.chaudhry1002@company.com
1003,Hira Sheikh,Female,23,Design,Lhore,3,MPhil,Junior,56050,,2015-07-24,True,Full-time,177,6,29,4.5,No,hira.sheikh1003@company.com
1004,Saad Butt,Female,,Support,Islamabad,6,Master,Senior,118533,,2017-11-02,True,Full-time,188,18,71,1.9,No,
1005,Shahzaib Qureshi,Male,35,IT,Peshawar,10,MPhil,Junior,77905,9.3,2021-01-21,True,Full-time,190,30,18,,No,shahzaib.qureshi1005@company.com
1006,Mehwish Siddiqui,Female,58,Operations,Rawalpindi,12,Master,Junior,78692,7.4,2015-01-21,True,Full-time,160,28,76,1.3,No,mehwish.siddiqui1006@company.com
1007,Saad Siddiqui,Female,56,IT,Multan,23,Intermediate,Senior,172420,8.8,2021-08-18, false ,Full-time,160,30,0,4.8,No,saad.siddiqui1007@company.com
1008,Bilal Siddiqui,Male,,HR,Peshawar,20,Master,Lead,213734,6.0,2022-05-22,True,Full-time,207,1,76,2.3,Yes,bilal.siddiqui1008@company.com
1009,Kainat Malik,Female,36,IT,Karachi,16,Intermediate,Junior,one lakh,9.8,2025-12-12,True,Full-time,200,11,33,3.1,No,kainat.malik1009@company.com
1010,Umar Aslam,Male,40,Operations,Multan,20,Master,Mid,133974,5.6,2019-01-15,True,Full-time,215,15,75,1.9,Yes,umar.aslam1010@company.com
1011,Farhan Khan,Male,25,IT,Peshawar,5,Intermediate,Mid,89756,6.0,2016-12-19,False,Full-time,200,27,24,1.4,No,farhan.khan1011@company.com
1012,Hira Farooq,Female,50,IT,Multan,20,Intermediate,Junior,113938,8.9,2016-06-14,True,Full-time,208,29,17,2.7,No,hira.farooq1012@company.com
1013,Zainab Iqbal,Male,49,HR,Lahore,20,Intermediate,Manager,256605,5.8,2024-11-22,False,Full-time,191,4,21,2.5,No,zainab.iqbal1013@company.com
1014,Bilal Aslam,Female,39,Operations,Multan,19,MPhil,Junior,89866,9.7,2026-02-28,True,Full-time,147,4,74,2.9,No,bilal.aslam1014@company.com
1015,Danish Raza,Male,53,HR,Peshawar,5,Intermediate,Mid,85617,7.0,2019-07-10,True,Full-time,193,34,40,4.7,No,danish.raza1015@company.com
1016,Raza Malik,Male,37,Operations,Karachi,17,Master,Mid,121140,5.0,2016-03-30,True,Full-time,204,17,16,4.7,No,raza.malik1016@company.com
1017,Abdullah Noor,Female,39,Finance,Karach,17,Master,Senior,173016,5.0,2026-06-10,False,Contract,153,9,33,1.5,Yes,abdullah.noor1017@company.com
1018,Mehwish Raza,Female,39,Marketing,Multan,10,Bachelor,Senior,136961,7.4,2015-02-21,True,Full-time,175,3,0,2.3,Yes,mehwish.raza1018@company.com
1019,Bilal Raza,Female,56,Operations,Rawalpindi,0,Intermediate,Junior,41884,,2022-04-13,True,Full-time,145,20,46,4.6,No,bilal.raza1019@company.com
1020,Eman Khan,Female,34, it ,Multan,3,Master,Senior,109960,9.5,2019-04-24,True,Part-time,162,27,3,1.7,No,eman.khan1020@company.com
1021,Laiba Aslam,Female,36,Sales,Islambad,16,Intermediate,Mid,107487,6.1,2024-04-28,False,Full-time,169,15,3,3.6,No,laiba.aslam1021@company.com
1022,Bilal Iqbal,Male,,Support,Multan,16,MPhil,Senior,154219,9.6,2016-08-02,False,Full-time,173,3,13,3.4,No,bilal.iqbal1022@company.com
1023,Laiba Malik,Female,53,HR,Faisalabad,18,Bachelor,Junior,109806,5.0,2026-01-28,True,Full-time,148,22,79,2.3,No,laiba.malik1023@company.com
1024,Anam Aslam,Female,53,Sales,Multan,13,Master,Mid,111431,5.6,2023-06-07,False,Full-time,162,20,51,3.2,Yes,anam.aslam1024@company.com
1025,Maria Noor,Female,58,Support,Faisalabad,14,MPhil,Senior,152349,8.9,2017-10-22,True,Full-time,224,22,11,4.3,No,maria.noor1025@company.com
1026,Komal Ali,Male,33,Finance,Lahore,1,Bachelor,Manager,187437,7.2,2018-05-12,False,Full-time,171,10,0,4.6,No,komal.ali1026@company.com
